City,Population (%),AQI,Green Coverage (%),Factories,Vehicles Count,Education Institutions Count,Hospitals Count,Waterborne Disease Cases,Respiratory Disease Cases,Year
Sylhet,87,87,38,60,363097,86,347,10408,17159,2023
Mymensingh,97,72,42,41,60159,305,277,10597,1706,2009
Rangpur,95,59,38,32,1350910,59,230,6319,28794,2018
Dhaka,74,188,6,139,1734725,643,312,13552,19364,2017
Mymensingh,87,143,47,137,1577018,107,145,11697,1390,2020
Barishal,63,279,33,128,1640657,126,24,12285,29844,2017
Rajshahi,86,129,49,71,458041,618,190,9932,23405,2023
Sylhet,98,116,13,131,1594695,407,46,1672,1714,2017
Sylhet,90,266,13,65,1651456,700,349,12628,20293,2005
Dhaka,57,295,32,73,1880910,362,284,13149,23427,2023
Barishal,99,67,28,77,840250,652,242,753,26735,2023
Khulna,89,74,8,140,422394,76,80,8369,15672,2015
Rangpur,68,234,49,27,1706052,187,396,13505,7595,2003
Gazipur,95,168,20,79,118634,472,303,550,4021,2018
Barishal,83,147,13,134,477137,546,376,14566,20163,2015
Sylhet,66,226,20,63,1741925,172,240,1229,20295,2002
Mymensingh,83,199,18,128,827891,665,101,9708,19479,2001
Rangpur,86,278,20,111,414002,99,159,14297,19194,2013
Chattogram,86,63,23,83,625109,476,223,7428,28643,2010
Rangpur,96,143,36,50,1061456,182,60,1343,22990,2024
Sylhet,61,112,24,22,713159,75,76,10611,10264,2007
Chattogram,53,251,31,122,1176697,552,251,5287,2348,2008
Chattogram,79,68,15,31,306496,184,319,9571,10587,2001
Gazipur,68,87,26,62,1243244,147,81,9301,7002,2000
Cumilla,84,104,27,45,1763560,422,21,4719,14621,2001
Khulna,60,74,11,126,142187,248,355,14467,21321,2018
Gazipur,69,96,39,72,1654351,447,109,5740,1989,2001
Rajshahi,88,141,24,54,977192,232,321,13690,3588,2003
Narayanganj,94,238,50,14,1302739,151,277,12642,8616,2009
Sylhet,84,98,18,59,1597093,150,370,8134,4624,2003
Chattogram,71,103,37,123,1261702,330,190,7933,22313,2004
Rangpur,77,135,25,143,264609,415,66,11592,11803,2024
Barishal,53,211,25,47,1322754,288,146,2499,27548,2012
Khulna,61,204,36,52,682796,55,94,9030,11716,2019
Gazipur,64,158,15,79,1373977,570,307,6535,25995,2015
Gazipur,75,99,38,105,1648091,643,186,7692,18711,2018
Rajshahi,77,219,40,20,317131,54,215,14575,21669,2004
Narayanganj,85,196,23,24,453886,100,268,6768,3548,2000
Khulna,54,145,35,34,1805433,136,227,6851,25041,2011
Rangpur,73,185,47,117,1884044,424,94,9944,11148,2003
Barishal,62,246,35,115,492796,505,30,1335,20804,2020
Khulna,70,215,10,41,251158,699,161,4275,26701,2024
Gazipur,83,98,41,118,1751961,246,381,7960,20639,2011
Gazipur,50,53,16,116,240502,377,116,13902,27577,2001
Chattogram,88,261,16,115,819860,120,245,6336,28102,2013
Chattogram,61,95,5,138,1418978,458,69,13163,1667,2009
Dhaka,94,103,30,92,1117700,528,286,10023,4126,2023
Khulna,69,70,44,69,1366017,226,67,6547,24525,2013
Khulna,79,165,49,133,1330699,659,252,3706,2307,2003
Sylhet,58,247,43,46,718859,109,95,4683,10331,2023
Khulna,75,205,21,29,765909,140,120,1156,9625,2018
Barishal,90,167,20,16,127128,267,240,959,2205,2001
Cumilla,70,249,12,115,899131,414,86,12376,16662,2015
Mymensingh,96,189,26,97,1571939,573,44,3906,8594,2009
Chattogram,77,154,9,146,592407,182,52,1041,11286,2023
Cumilla,70,224,20,128,720954,110,393,12976,17159,2018
Narayanganj,74,207,25,132,938501,215,252,7128,22628,2002
Sylhet,62,183,35,42,1941738,686,373,4145,14677,2007
Khulna,88,224,39,46,491573,663,399,1677,3708,2011
Cumilla,66,86,22,80,888874,499,303,1193,2922,2016
Gazipur,81,152,16,121,881087,194,102,7855,28714,2010
Rajshahi,59,103,13,15,744105,290,136,9148,22583,2021
Gazipur,57,231,21,113,1248587,109,257,2958,11890,2011
Barishal,65,129,36,110,1675835,605,64,1169,4486,2005
Khulna,68,110,33,54,1663487,282,320,14739,3253,2005
Rangpur,62,197,29,87,1361040,541,143,12936,14005,2019
Gazipur,58,283,50,33,297349,335,89,7645,11651,2018
Rangpur,72,208,30,99,984171,574,85,11259,20692,2022
Gazipur,71,292,30,19,1479440,292,277,4552,21918,2007
Dhaka,69,271,6,11,1819227,79,285,14449,1987,2003
Chattogram,64,284,39,22,1929835,381,154,6463,26157,2022
Cumilla,55,68,45,112,1037578,513,307,8116,8742,2009
Rajshahi,54,295,24,51,925171,249,147,4712,12320,2003
Rangpur,90,183,36,47,729797,208,351,1986,7772,2001
Narayanganj,66,90,19,85,1989940,357,109,3498,9926,2007
Rangpur,72,239,27,79,1792182,373,193,14636,16205,2019
Mymensingh,99,154,36,72,971388,218,381,12319,16648,2009
Cumilla,82,257,25,76,1815848,333,285,5953,23300,2021
Narayanganj,98,113,29,137,641524,386,248,5956,18530,2010
Chattogram,80,279,50,51,1340480,528,133,5354,3538,2005
Mymensingh,67,269,41,37,910964,649,91,8273,28597,2014
Cumilla,99,83,24,69,1208117,363,30,10111,27921,2017
Cumilla,53,55,41,139,758228,217,31,4106,6913,2004
Cumilla,62,138,44,44,659642,134,198,12804,17085,2006
Mymensingh,64,230,6,125,815316,157,261,7629,24879,2019
Gazipur,58,288,30,22,318537,127,113,5133,29990,2011
Rangpur,66,205,37,86,422455,178,101,6889,19537,2001
Sylhet,94,211,32,44,1757367,342,298,6361,5245,2021
Cumilla,61,192,18,89,859073,122,209,6493,15817,2012
Barishal,57,135,42,19,492293,508,197,10066,21605,2018
Mymensingh,50,109,24,126,419783,445,194,4078,20348,2010
Rajshahi,57,190,45,71,288727,489,317,1145,2630,2009
Dhaka,50,61,36,90,1750818,79,78,6155,29646,2013
Chattogram,52,292,37,71,1749549,201,376,2326,22288,2017
Gazipur,84,137,39,103,413770,631,262,14363,22715,2009
Chattogram,98,66,36,100,1533137,579,379,10141,9654,2003
Sylhet,70,132,46,106,81202,368,145,711,8924,2024
Gazipur,58,295,5,88,1727068,512,328,2962,28264,2007
Sylhet,83,217,27,78,610767,552,90,11458,13883,2019
Sylhet,80,232,25,100,1725690,130,283,3612,14197,2022
Rangpur,100,140,36,12,1851896,605,184,2246,18385,2024
Rajshahi,75,242,42,39,1153932,408,140,8148,21122,2003
Khulna,74,186,20,57,844748,429,236,1008,17782,2011
Khulna,60,83,24,102,905104,149,65,6024,27348,2019
Mymensingh,63,68,38,21,501323,475,390,10771,23788,2023
Mymensingh,83,182,44,32,623119,322,89,8579,9911,2022
Sylhet,67,145,31,38,1775289,574,45,10819,12205,2011
Narayanganj,88,124,21,61,1076626,470,37,12448,15101,2010
Mymensingh,72,58,14,35,489572,285,267,12359,19012,2011
Chattogram,51,138,7,118,1492702,205,192,1475,23582,2013
Sylhet,56,281,34,106,1678903,65,270,1537,24237,2006
Rajshahi,58,259,41,115,349170,77,23,4452,6551,2000
Barishal,94,106,38,66,1961620,102,336,10305,10519,2011
Khulna,54,188,39,81,1041451,100,47,12232,24682,2015
Rajshahi,91,214,17,65,1459527,623,142,1721,12484,2024
Dhaka,83,149,26,78,620035,657,216,10235,17545,2013
Cumilla,74,144,42,143,758142,640,394,10030,7346,2003
Narayanganj,66,73,33,29,590697,307,347,14093,6795,2015
Narayanganj,70,173,18,132,1949144,194,393,11104,16103,2006
Rangpur,93,172,25,16,858961,611,387,11694,9731,2014
Sylhet,64,139,18,67,872336,53,233,10322,5587,2024
Gazipur,86,245,39,71,551103,362,165,12533,26362,2002
Khulna,75,95,48,128,1810758,657,173,5790,20667,2023
Mymensingh,92,215,11,21,408575,315,39,6823,16521,2022
Narayanganj,99,285,26,88,1483113,201,222,1700,9659,2002
Cumilla,93,195,35,41,944645,684,392,4799,17757,2006
Chattogram,64,115,10,67,78775,399,379,1137,22567,2007
Chattogram,77,112,24,28,355340,86,359,2471,6284,2003
Mymensingh,71,99,20,135,726200,429,183,14207,20271,2018
Gazipur,97,82,16,104,840171,388,175,10569,3272,2023
Cumilla,98,300,33,71,538217,547,289,5631,22271,2011
Rangpur,82,292,40,130,360236,605,281,6506,25159,2012
Khulna,93,96,38,74,952619,333,52,6946,1146,2013
Cumilla,55,132,9,73,379330,555,320,12119,23713,2020
Gazipur,85,86,29,106,1881009,112,173,3577,29316,2011
Rajshahi,51,245,7,97,225876,521,246,8439,26314,2006
Rajshahi,94,182,24,137,747962,265,324,4548,28123,2011
Mymensingh,72,129,47,70,695415,263,55,3944,23359,2011
Rajshahi,60,135,27,27,1876092,88,106,1413,1376,2017
Narayanganj,88,183,21,114,1498253,513,243,14667,12918,2016
Barishal,70,126,6,31,930602,474,336,13134,23348,2020
Khulna,65,138,37,140,716705,670,37,9744,29593,2023
Narayanganj,96,283,23,98,1912895,158,118,6784,25194,2002
Barishal,87,93,29,54,241518,85,249,14507,23704,2016
Mymensingh,87,139,18,119,307329,515,396,3189,7764,2006
Cumilla,62,153,24,132,647920,157,289,6235,18276,2004
Sylhet,95,77,42,101,1542959,697,91,8024,6830,2003
Barishal,84,261,14,85,1135820,565,58,2854,22857,2022
Narayanganj,73,297,40,25,1789283,560,35,1062,18238,2024
Sylhet,87,188,5,48,1392617,518,194,12409,2105,2022
Rajshahi,82,270,34,63,1372776,432,109,5056,23938,2009
Barishal,77,276,11,34,1727946,65,67,9838,7157,2010
Barishal,85,257,14,149,1467350,353,165,10980,9894,2016
Chattogram,74,192,48,18,318976,654,223,8590,20800,2008
Chattogram,67,160,18,112,1276029,81,130,11589,25791,2012
Rangpur,90,70,9,149,1868305,592,139,9620,1866,2000
Rajshahi,87,226,39,59,1038106,168,156,12597,21301,2017
Narayanganj,89,179,23,82,838031,207,92,12973,16400,2012
Dhaka,84,279,8,31,449825,473,388,2142,13540,2010
Khulna,71,169,41,97,492309,513,311,7152,5282,2022
Dhaka,83,187,7,86,1584685,420,287,8244,22620,2004
Gazipur,87,127,36,71,732747,233,308,7072,27484,2012
Rajshahi,90,155,13,40,351177,653,74,5594,25685,2011
Sylhet,89,218,32,86,1880024,195,339,7155,12971,2017
Cumilla,93,282,40,54,1910787,465,121,4744,13333,2013
Barishal,69,87,39,146,1668286,120,373,7952,24989,2011
Khulna,88,171,27,17,549302,675,182,6134,12121,2000
Sylhet,84,117,19,139,444334,189,141,2392,25959,2016
Dhaka,79,186,10,87,1235066,497,290,13059,25702,2010
Rajshahi,87,252,44,116,838892,599,335,6803,9536,2007
Mymensingh,98,297,5,44,1915303,128,51,11460,3937,2018
Cumilla,93,282,30,10,1909022,533,229,14255,20238,2004
Rajshahi,98,85,43,41,924572,289,258,14137,9387,2012
Dhaka,94,168,25,149,790313,374,286,12895,10537,2010
Khulna,100,111,31,56,670399,486,150,2306,8697,2021
Sylhet,72,131,30,136,358064,126,216,10020,29942,2002
Narayanganj,74,139,30,26,1063097,292,287,5327,29144,2003
Rajshahi,82,183,30,23,1432025,694,26,9606,14769,2005
Khulna,78,232,14,149,1585555,89,237,2153,10186,2011
Sylhet,85,177,8,77,1527187,233,258,10316,6357,2004
Gazipur,65,118,8,26,850065,639,292,4364,27580,2021
Sylhet,68,220,41,104,1907923,298,203,10552,21727,2016
Gazipur,82,267,38,112,486359,541,54,10338,21262,2024
Rangpur,93,263,10,32,160333,506,20,11862,24717,2017
Barishal,55,50,40,74,195001,337,141,5514,5594,2022
Rangpur,93,277,40,51,1883154,165,324,9496,3526,2013
Narayanganj,69,223,6,142,1510151,335,330,12076,17643,2020
Cumilla,82,271,12,46,203318,406,229,12342,4590,2017
Cumilla,52,130,12,19,448988,679,162,1816,26346,2000
Rangpur,50,246,41,53,676155,298,367,13564,12374,2009
Khulna,51,85,50,62,1293178,512,223,1780,14492,2004
Barishal,86,292,40,107,987878,431,20,14217,16301,2020
Khulna,51,145,5,66,830109,551,221,9821,8356,2023
Cumilla,65,183,8,141,1411352,642,95,7113,5797,2000
Mymensingh,66,124,46,123,977574,660,106,13851,29755,2009
Sylhet,59,147,27,90,656990,179,248,662,29900,2007
Khulna,91,286,35,118,1424632,410,230,12109,17384,2023
Narayanganj,93,83,30,48,1694282,531,239,1843,10298,2013
Sylhet,94,221,50,33,715776,494,48,3764,4551,2013
Sylhet,57,166,23,150,168877,237,129,7034,14716,2013
Rajshahi,67,73,30,98,1407259,395,287,9496,8205,2006
Sylhet,77,276,40,67,1739867,449,256,5365,16889,2012
Narayanganj,65,222,47,108,1808932,408,59,8344,3065,2014
Narayanganj,78,54,24,29,1193759,161,22,10762,8980,2008
Cumilla,69,158,47,17,1046295,109,294,1101,9274,2013
Gazipur,55,136,5,56,1369368,555,145,3388,24907,2006
Narayanganj,56,190,32,77,1034867,188,158,7551,26815,2018
Dhaka,61,284,7,51,925043,91,376,13672,11563,2000
Dhaka,80,275,50,67,784166,173,150,13178,25064,2020
Chattogram,63,125,8,42,187413,354,226,2280,13127,2014
Rajshahi,71,199,5,131,664223,86,191,2997,19755,2006
Rangpur,55,53,34,148,523670,50,330,1455,14270,2008
Cumilla,85,56,16,27,1996947,205,277,14880,26116,2005
Dhaka,61,171,47,136,1775397,276,217,1766,8292,2003
Mymensingh,72,250,36,78,643023,690,95,5249,13036,2016
Mymensingh,63,269,40,150,755929,563,179,12244,9069,2018
Mymensingh,59,191,10,28,202581,500,307,6221,19519,2022
Narayanganj,62,107,42,111,557003,280,49,10005,9036,2006
Mymensingh,78,187,34,104,1563842,121,133,12785,23544,2013
Rangpur,78,246,32,75,1089011,470,284,12007,14033,2017
Mymensingh,57,286,28,43,849445,521,172,9772,14620,2018
Rangpur,66,281,40,132,911519,526,71,5885,22702,2008
Gazipur,92,227,12,39,1960689,651,383,13269,6118,2015
Cumilla,51,128,26,150,1936634,86,124,12696,20511,2024
Gazipur,62,125,28,126,1534087,213,275,5433,9668,2010
Dhaka,89,295,30,100,422879,362,134,13914,25772,2019
Cumilla,88,282,42,144,591971,454,241,5057,27305,2019
Rangpur,52,188,26,139,1858296,536,195,11190,16542,2007
Chattogram,74,290,16,109,1598680,52,135,6544,9875,2009
Rangpur,68,237,32,134,1970898,538,369,12155,19817,2003
Rajshahi,100,59,8,97,1342875,426,207,10918,5259,2021
Cumilla,69,202,30,140,1010502,102,317,10024,21697,2010
Chattogram,70,125,50,135,1535662,500,31,7274,27704,2000
Chattogram,86,270,7,124,1393852,236,144,13008,13461,2022
Barishal,92,61,44,41,127908,515,213,2502,21673,2000
Mymensingh,88,123,7,57,108079,338,58,2084,26985,2006
Barishal,98,94,24,38,125238,253,168,2339,21349,2007
Mymensingh,81,168,50,23,1904643,178,90,14258,14040,2018
Gazipur,78,219,18,53,1184676,619,229,14862,15350,2016
Barishal,77,213,41,64,931731,284,52,13378,27099,2002
Cumilla,85,149,12,40,820958,404,226,6611,26033,2024
Cumilla,96,262,48,71,1808670,625,393,12514,7155,2012
Cumilla,99,100,49,24,424567,250,242,8856,10185,2001
Narayanganj,76,63,23,29,264447,509,203,4339,7053,2011
Chattogram,89,107,25,72,1219389,292,391,8991,13554,2018
Sylhet,74,144,47,55,1674273,274,137,11279,12142,2007
Chattogram,77,293,8,136,682708,326,56,10602,12583,2016
Barishal,87,283,30,20,1166404,196,118,13476,19763,2013
Chattogram,79,178,48,72,1846070,672,190,511,16328,2007
Narayanganj,74,167,40,84,1024256,133,292,8870,7421,2012
Rajshahi,68,79,14,78,400113,246,216,14264,14272,2016
Narayanganj,67,105,9,131,861643,565,142,11084,5109,2011
Dhaka,66,131,26,82,156868,553,21,14402,8222,2024
Cumilla,53,129,11,40,985056,149,28,9309,19045,2000
Rajshahi,61,138,11,16,714566,88,185,10043,13864,2019
Rajshahi,58,115,11,95,61805,456,352,2392,16362,2021
Sylhet,64,171,35,69,643049,485,286,9628,11458,2009
Mymensingh,59,273,22,106,1856240,203,89,1951,18212,2017
Khulna,83,56,25,83,753296,488,52,13025,25772,2013
Chattogram,67,205,35,108,938695,254,309,10774,27803,2020
Rangpur,74,148,28,119,920281,225,228,5926,1862,2020
Barishal,84,51,37,120,1716315,673,27,9788,21082,2001
Chattogram,88,222,21,118,690763,518,245,8600,2270,2023
Mymensingh,81,57,9,105,1161836,366,389,1233,17847,2021
Narayanganj,80,241,45,90,1067323,205,70,6767,18521,2015
Chattogram,52,249,13,117,1186795,429,104,4662,21509,2023
Khulna,80,252,10,108,1106980,191,158,13435,28051,2008
Narayanganj,72,185,27,14,421339,214,60,5367,1549,2007
Dhaka,66,291,26,53,366079,681,395,7293,17845,2014
Khulna,51,118,9,52,1134603,637,68,7185,18944,2015
Narayanganj,71,106,23,17,562466,58,44,6483,14512,2006
Dhaka,70,172,24,139,683464,526,176,4454,28130,2006
Rajshahi,58,55,31,64,1182016,435,173,9673,15543,2020
Dhaka,98,180,10,129,414487,524,309,624,6777,2001
Barishal,77,107,12,145,1904899,55,55,5434,20338,2003
Rangpur,71,228,49,115,1438536,262,324,11169,28719,2018
Dhaka,73,239,37,84,1216592,133,21,9884,1127,2020
Sylhet,82,79,34,73,296788,504,368,8425,12945,2002
Chattogram,89,261,31,99,1632657,442,206,8139,4687,2019
Narayanganj,98,146,49,23,1357763,246,57,1703,11759,2005
Mymensingh,98,147,44,94,1117225,175,129,2867,29467,2024
Khulna,96,231,38,133,51867,520,170,2151,13510,2000
Barishal,56,150,14,43,1538595,447,289,1198,24119,2001
Dhaka,78,270,38,121,1996195,204,198,5735,6577,2005
Rajshahi,50,145,41,126,1509609,397,316,6721,19556,2007
Chattogram,54,136,16,144,70559,379,342,4108,18908,2015
Chattogram,87,68,21,52,1141607,64,60,13588,25759,2007
Rajshahi,100,89,11,73,335521,314,121,9572,19938,2007
Barishal,68,134,19,68,1638229,344,382,13154,6651,2019
Rajshahi,55,146,25,51,586695,578,288,7940,5720,2024
Cumilla,79,157,44,12,1380188,186,192,10294,24592,2006
Khulna,86,153,15,142,838373,694,175,9139,14041,2014
Chattogram,95,156,6,69,376250,150,117,9331,24828,2008
Sylhet,75,171,50,35,1552747,592,315,12987,29126,2017
Rangpur,54,109,27,112,1164420,205,276,14502,11719,2007
Dhaka,61,269,17,102,1665822,548,55,3602,17641,2021
Cumilla,75,217,29,117,1447732,193,336,2588,24662,2020
Barishal,68,193,37,147,643931,431,106,1653,29808,2000
Rangpur,92,224,10,137,1933752,216,393,8415,29514,2000
Cumilla,86,255,27,128,408247,555,239,12199,4392,2015
Mymensingh,70,278,6,46,254512,281,332,2041,27539,2004
Gazipur,51,153,26,111,1061391,75,381,4661,28945,2023
Rajshahi,79,113,44,56,1093773,694,310,670,17606,2000
Barishal,53,95,49,125,389075,393,88,12520,18538,2009
Sylhet,58,226,10,57,535390,265,330,10678,21454,2024
Chattogram,88,157,11,124,614344,599,330,3298,5924,2004
Rangpur,82,133,30,147,1205872,345,399,1252,1488,2005
Chattogram,86,204,40,102,1811753,122,101,2737,20254,2011
Narayanganj,80,277,39,82,1768285,152,296,581,21699,2007
Cumilla,97,215,32,23,943377,439,241,5984,12549,2006
Chattogram,94,86,20,96,1400617,333,352,11640,28334,2001
Rajshahi,97,235,43,140,333977,95,364,8457,6342,2010
Cumilla,83,236,20,106,985349,686,124,2953,11145,2011
Mymensingh,100,99,42,17,373756,257,202,1675,15804,2008
Mymensingh,63,131,9,20,1853439,91,265,3571,12982,2017
Sylhet,83,93,15,108,1571013,412,146,10148,7846,2006
Gazipur,96,161,8,118,1765668,345,396,4837,25007,2003
Narayanganj,71,184,33,45,924126,292,255,14232,3257,2020
Gazipur,98,75,44,68,718875,634,340,8863,16016,2015
Dhaka,72,161,23,34,1374230,340,352,14097,23493,2011
Chattogram,60,247,48,44,447121,501,394,10528,3993,2011
Khulna,65,121,33,126,846136,502,149,1371,7422,2001
Cumilla,60,155,41,82,1524925,173,240,1615,21102,2005
Khulna,70,185,42,11,375200,534,242,8571,9975,2000
Dhaka,81,159,15,47,1064265,599,201,11339,13880,2012
Khulna,68,136,24,101,427425,185,250,8824,25521,2006
Gazipur,98,125,24,78,442658,236,72,10187,10513,2019
Narayanganj,94,200,6,51,1033535,126,192,7630,18360,2004
Barishal,69,153,27,76,625084,608,206,8536,24870,2022
Barishal,73,153,11,10,537251,410,96,10493,7630,2020
Sylhet,74,103,23,61,967564,267,195,12863,7486,2013
Mymensingh,51,102,33,144,653925,159,91,13778,28659,2002
Dhaka,98,172,40,41,163758,59,400,4399,6256,2005
Gazipur,87,52,49,24,385572,482,333,8210,23954,2022
Cumilla,75,142,8,68,588801,591,164,4093,4425,2022
Rajshahi,89,84,31,94,294141,122,354,13883,13465,2013
Rajshahi,92,233,26,102,966713,456,185,5315,16682,2022
Barishal,82,130,42,145,1813867,518,309,10700,9887,2003
Mymensingh,90,223,47,100,141815,582,258,12526,29256,2023
Mymensingh,89,113,16,22,1813919,56,119,12589,23747,2009
Mymensingh,82,245,50,40,1163566,232,386,3581,24143,2003
Sylhet,68,188,20,124,1994966,590,126,14776,23629,2015
Barishal,69,226,25,59,1440737,466,25,14648,26360,2011
Dhaka,73,126,24,57,1036066,692,340,10982,3113,2007
Rangpur,86,280,37,114,710970,85,30,5323,20234,2006
Rajshahi,59,207,12,95,1276378,329,279,10013,29706,2016
Chattogram,72,161,36,68,1202952,656,365,8835,16906,2011
Khulna,100,218,5,93,1637981,555,104,3320,13491,2002
Khulna,93,195,21,49,1450740,389,360,7223,18700,2015
Gazipur,55,113,44,83,1837697,220,150,2263,5953,2003
Rangpur,54,128,33,43,1390833,645,63,1338,13555,2024
Chattogram,91,289,26,146,393932,698,332,14220,26039,2017
Dhaka,75,205,38,82,1251898,138,348,12838,27105,2017
Cumilla,61,92,20,146,1299948,323,256,3937,16834,2023
Barishal,53,265,6,123,229022,118,62,6325,17651,2005
Narayanganj,93,69,46,11,1956769,181,362,12462,3590,2022
Barishal,98,221,42,59,1958254,127,50,1766,17689,2024
Mymensingh,54,120,6,25,1589984,275,332,9585,17604,2010
Rangpur,84,185,23,10,1459265,280,238,3440,1274,2008
Dhaka,50,135,46,110,125896,238,320,5168,10407,2017
Rajshahi,74,217,41,67,1395894,512,28,4478,12481,2021
Cumilla,63,225,34,16,704491,114,233,6091,20714,2022
Cumilla,76,161,10,53,1240795,112,168,1309,10123,2012
Rangpur,86,122,47,130,545923,515,282,2029,24165,2019
Mymensingh,81,171,27,120,992551,71,193,12414,27658,2001
Sylhet,95,50,36,138,1809754,186,283,5039,19291,2019
Khulna,78,126,46,14,1857600,603,49,3075,17255,2010
Chattogram,99,67,42,116,1777883,153,288,9828,3882,2002
Sylhet,99,199,45,105,609055,488,159,12386,27968,2007
Cumilla,75,221,19,123,1774720,161,311,6243,11195,2014
Gazipur,74,254,32,100,90671,241,80,6591,6210,2022
Cumilla,87,88,13,137,328219,154,242,13787,4377,2022
Dhaka,88,184,42,94,1731632,187,374,11555,20716,2012
Narayanganj,78,195,48,134,692557,500,332,7213,25434,2009
Barishal,63,188,30,78,1116214,130,109,8319,19688,2002
Cumilla,58,68,5,93,405666,483,234,1045,12541,2009
Mymensingh,68,95,43,86,962371,396,252,4751,6489,2015
Sylhet,74,111,14,26,635945,688,356,11931,15243,2022
Rajshahi,91,255,34,135,72961,228,384,1616,17737,2010
Mymensingh,82,271,40,105,767179,349,95,9966,7857,2020
Dhaka,54,173,49,45,1866504,319,199,12144,20036,2023
Chattogram,84,88,18,113,1858472,330,35,7264,20789,2018
Cumilla,92,157,7,53,907011,274,371,12214,20613,2016
Chattogram,84,285,50,61,1282643,503,96,14439,10495,2013
Barishal,55,52,14,96,1106622,280,229,4937,1625,2002
Chattogram,76,189,10,106,194027,551,379,4996,6761,2014
Mymensingh,65,173,8,29,953425,611,392,1018,8279,2015
Rangpur,75,253,46,72,384421,516,147,7145,11880,2011
Mymensingh,76,153,18,107,719129,501,386,8366,17419,2023
Sylhet,86,141,26,23,1948655,83,120,7790,12738,2011
Chattogram,74,250,41,108,669024,52,76,9869,6590,2000
Mymensingh,72,235,28,14,185518,685,194,2132,8018,2006
Rajshahi,53,281,18,32,1979061,378,90,1514,14786,2018
Chattogram,53,195,37,58,769214,110,286,10845,21989,2001
Barishal,80,285,31,16,1261514,468,232,8423,23998,2010
Barishal,81,92,15,131,1377269,506,93,6056,28767,2004
Narayanganj,85,170,44,128,247050,107,323,1796,2981,2005
Rajshahi,92,295,10,20,1789533,613,335,7396,13393,2005
Rangpur,83,92,33,28,453984,210,105,10332,12699,2022
Gazipur,91,284,35,71,303586,508,203,1704,19029,2011
Cumilla,55,190,15,48,790436,218,289,13397,26103,2023
Barishal,67,223,5,91,1042415,196,387,5097,3575,2014
Sylhet,84,267,5,77,1452319,277,252,10184,28803,2015
Dhaka,98,74,12,139,102773,142,299,14085,26209,2021
Mymensingh,57,257,21,77,1276896,605,304,7207,27180,2001
Rajshahi,100,197,42,131,1086564,122,197,8249,15691,2009
Narayanganj,56,198,6,33,228496,555,179,3163,14506,2010
Gazipur,66,60,48,72,371651,667,312,11510,28936,2016
Rajshahi,55,215,7,113,971857,603,122,8040,23471,2017
Cumilla,100,195,46,147,1731727,532,74,6813,9925,2021
Rajshahi,73,264,40,75,933220,558,72,8938,15237,2012
Barishal,78,258,6,146,786379,583,381,3275,18893,2000
Barishal,62,283,46,58,1658963,307,267,6753,9270,2012
Gazipur,84,153,46,58,1204614,69,345,11106,29240,2015
Narayanganj,74,249,10,40,441073,273,70,5969,11533,2002
Sylhet,69,253,22,43,596210,371,167,9350,1095,2017
Khulna,78,246,33,42,706502,488,190,4949,13761,2015
Chattogram,89,293,34,136,1797518,181,314,13325,2379,2024
Rangpur,84,243,35,148,806683,106,160,7141,29199,2012
Narayanganj,55,283,46,139,1181223,528,76,12438,22193,2011
Rangpur,75,192,23,23,1224239,112,145,5990,18291,2013
Sylhet,65,63,34,40,1887557,195,193,13639,23186,2009
Gazipur,78,286,41,120,701298,567,243,7066,13562,2014
Dhaka,71,169,23,138,1200454,620,181,3543,1271,2007
Khulna,69,270,16,148,179794,454,384,5027,15828,2008
Dhaka,58,219,29,112,393118,387,339,4489,1531,2000
Mymensingh,96,171,6,101,1050410,485,59,2772,12692,2005
Dhaka,90,152,49,96,543858,80,379,7156,26351,2005
Rajshahi,84,257,27,91,1585193,187,352,2919,23514,2012
Khulna,62,51,41,133,977815,608,179,5196,9905,2019
Chattogram,58,69,48,23,966491,357,261,8383,6000,2000
Sylhet,58,244,28,129,61199,249,370,543,27655,2014
Cumilla,74,237,12,132,1946843,364,349,11915,25964,2006
Chattogram,64,219,47,13,535991,484,158,1847,11484,2015
Khulna,95,78,37,83,1799323,258,344,14267,22190,2006
Rajshahi,92,52,24,70,1168795,100,317,3892,21354,2010
Rangpur,96,144,20,92,635613,107,130,1220,26378,2013
Cumilla,66,151,19,90,1752727,86,97,3267,9372,2006
Khulna,90,164,22,22,1630717,389,239,6415,7965,2023
Sylhet,55,104,38,94,364663,566,96,1331,1826,2017
Khulna,71,127,31,38,993559,644,351,5033,18787,2009
Sylhet,98,280,9,29,561383,297,324,13460,27433,2003
Dhaka,57,110,12,146,1858674,533,367,11874,7992,2005
Chattogram,70,94,48,23,121580,335,159,11444,24347,2022
Sylhet,92,93,16,127,221967,158,365,2048,7605,2024
Sylhet,66,153,11,45,79918,254,62,7935,6109,2023
Sylhet,67,258,50,46,1355873,500,303,7720,8381,2015
Sylhet,53,184,36,73,1703473,387,260,4920,23084,2016
Narayanganj,70,160,14,83,1979730,221,235,10574,8193,2024
Rajshahi,92,258,10,148,1245044,387,202,9461,19213,2024
Chattogram,53,214,26,124,1281263,441,125,12184,13667,2017
Narayanganj,66,243,24,10,1884249,108,24,1955,7362,2007
Mymensingh,94,107,35,76,1665674,423,79,8606,7300,2024
Khulna,88,57,46,109,372936,108,199,9240,10626,2003
Sylhet,93,260,6,42,106604,362,172,14714,10021,2003
